danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,category
0.565,0.299,8,-8.876,0,0.474,0.672,0.0,0.165,0.754,84.197,151384,5,Brazilian Funk
0.866,0.538,0,-7.55,1,0.221,0.927,5.25e-06,0.157,0.374,130.048,243231,4,Brazilian Funk
0.763,0.723,9,-3.328,1,0.132,0.425,3.52e-06,0.083,0.815,170.044,211465,4,Brazilian Funk
0.838,0.922,7,-1.899,1,0.058,0.46,0.0126,0.156,0.8,164.533,126955,4,Brazilian Funk
0.656,0.421,10,-10.821,0,0.22,0.0409,0.744,0.343,0.379,129.983,77538,4,Brazilian Funk
0.747,0.931,6,-3.544,1,0.0867,0.0788,0.000519,0.0672,0.762,132.005,219960,4,Brazilian Funk
0.674,0.634,5,-6.726,0,0.161,0.167,0.0,0.237,0.61,137.788,195539,4,Brazilian Funk
0.667,0.484,4,-9.835,0,0.263,0.414,0.0,0.0987,0.545,182.038,181986,4,Brazilian Funk
0.581,0.521,0,-6.093,1,0.13,0.566,0.0,0.234,0.453,85.95,129400,3,Brazilian Funk
0.7,0.826,4,-4.688,0,0.157,0.191,0.0,0.0978,0.333,138.039,203495,4,Brazilian Funk
0.709,0.635,1,-3.836,0,0.118,0.281,6.59e-05,0.08,0.61,170.053,271059,4,Brazilian Funk
0.694,0.872,5,-1.899,0,0.104,0.306,3.78e-06,0.145,0.881,99.61,136333,4,Brazilian Funk
0.781,0.67,0,-2.588,0,0.0484,0.232,2.01e-06,0.104,0.85,177.957,208000,4,Brazilian Funk
0.624,0.392,8,-6.907,1,0.126,0.415,0.0,0.0995,0.608,81.92,158769,4,Brazilian Funk
0.815,0.714,1,-2.103,0,0.0438,0.233,2.74e-05,0.129,0.482,129.97,154024,4,Brazilian Funk
0.832,0.638,1,-6.941,1,0.146,0.219,1.11e-05,0.104,0.84,94.929,166060,4,Brazilian Funk
0.836,0.392,7,-8.232,0,0.07,0.401,2.5e-05,0.0958,0.593,131.971,155149,4,Brazilian Funk
0.616,0.43,7,-8.261,1,0.0669,0.836,0.0,0.0775,0.689,170.436,248471,4,Brazilian Funk
0.594,0.795,5,-1.074,1,0.158,0.0571,1e-06,0.198,0.681,179.956,206054,4,Brazilian Funk
0.923,0.701,7,-0.887,1,0.108,0.589,1.07e-05,0.118,0.526,130.109,88615,4,Brazilian Funk
0.561,0.649,0,-6.818,0,0.363,0.715,1.73e-06,0.12,0.766,145.863,249875,4,Brazilian Funk
0.615,0.921,2,-1.427,1,0.26,0.463,0.000472,0.0957,0.405,129.923,196840,4,Brazilian Funk
0.625,0.34,5,-12.004,1,0.0873,0.763,4.99e-05,0.354,0.36,130.231,120014,4,Brazilian Funk
0.686,0.94,4,1.063,0,0.0984,0.0526,5.94e-05,0.254,0.385,130.035,470423,4,Brazilian Funk
