danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.755,0.945,0,-5.695,1,0.0533,0.00961,0.195,0.862,0.797,133.987,audio_features,46N3FCKFABRjNoNBVq4osr,spotify:track:46N3FCKFABRjNoNBVq4osr,https://api.spotify.com/v1/tracks/46N3FCKFABRjNoNBVq4osr,https://api.spotify.com/v1/audio-analysis/46N3FCKFABRjNoNBVq4osr,209552,4
0.691,0.864,4,-6.182,0,0.0427,0.00229,0.012,0.134,0.503,125.014,audio_features,5L3kJPnAMEORynAJrBHMbx,spotify:track:5L3kJPnAMEORynAJrBHMbx,https://api.spotify.com/v1/tracks/5L3kJPnAMEORynAJrBHMbx,https://api.spotify.com/v1/audio-analysis/5L3kJPnAMEORynAJrBHMbx,213978,4
0.704,0.895,6,-8.16,1,0.0432,0.0191,0.000135,0.155,0.577,128.002,audio_features,277aQ7uvOPlWmULkOdufco,spotify:track:277aQ7uvOPlWmULkOdufco,https://api.spotify.com/v1/tracks/277aQ7uvOPlWmULkOdufco,https://api.spotify.com/v1/audio-analysis/277aQ7uvOPlWmULkOdufco,188012,4
0.567,0.922,1,-4.535,1,0.0498,0.000121,0.926,0.0931,0.523,87.487,audio_features,5eBLyfMZMbm6xa69h3LvPU,spotify:track:5eBLyfMZMbm6xa69h3LvPU,https://api.spotify.com/v1/tracks/5eBLyfMZMbm6xa69h3LvPU,https://api.spotify.com/v1/audio-analysis/5eBLyfMZMbm6xa69h3LvPU,267078,4
0.649,0.911,7,-5.832,1,0.0495,0.00422,0.0835,0.104,0.0563,126.004,audio_features,2NKwz3gyK8da44pR2ZbiM1,spotify:track:2NKwz3gyK8da44pR2ZbiM1,https://api.spotify.com/v1/tracks/2NKwz3gyK8da44pR2ZbiM1,https://api.spotify.com/v1/audio-analysis/2NKwz3gyK8da44pR2ZbiM1,236271,4
0.841,0.646,11,-10.203,0,0.0469,0.0133,0.00805,0.194,0.851,127.021,audio_features,7MkwoDv07H8iIXe4xYRsyr,spotify:track:7MkwoDv07H8iIXe4xYRsyr,https://api.spotify.com/v1/tracks/7MkwoDv07H8iIXe4xYRsyr,https://api.spotify.com/v1/audio-analysis/7MkwoDv07H8iIXe4xYRsyr,198508,4
0.793,0.966,2,-5.596,1,0.0545,0.00149,0.63,0.0436,0.898,129.01,audio_features,65TcmTdJ6bqvYfC8UTsqiR,spotify:track:65TcmTdJ6bqvYfC8UTsqiR,https://api.spotify.com/v1/tracks/65TcmTdJ6bqvYfC8UTsqiR,https://api.spotify.com/v1/audio-analysis/65TcmTdJ6bqvYfC8UTsqiR,160930,4
0.493,0.277,2,-15.968,0,0.235,0.798,0.0,0.13,0.21,116.902,audio_features,2SxnF7ibCTxMihwyiW7znz,spotify:track:2SxnF7ibCTxMihwyiW7znz,https://api.spotify.com/v1/tracks/2SxnF7ibCTxMihwyiW7znz,https://api.spotify.com/v1/audio-analysis/2SxnF7ibCTxMihwyiW7znz,176351,4
0.61,0.824,5,-3.588,1,0.0382,0.24,0.0,0.0865,0.273,129.975,audio_features,4pwKy99a1IhAwjekz8Zf0c,spotify:track:4pwKy99a1IhAwjekz8Zf0c,https://api.spotify.com/v1/tracks/4pwKy99a1IhAwjekz8Zf0c,https://api.spotify.com/v1/audio-analysis/4pwKy99a1IhAwjekz8Zf0c,219666,4
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4
